u_idx,i_idx,timestamp
0,57899,1379548800
0,62304,1379548800
0,41682,1384041600
0,45819,1385769600
1,42117,1366156800
1,46587,1366156800
1,50473,1366156800
2,54023,1359331200
2,3089,1361145600
2,39919,1361145600
2,48760,1361145600
2,30131,1389744000
3,50637,1384387200
3,58670,1386374400
3,28038,1387843200
4,25819,1356566400
4,42381,1356566400
4,26513,1359331200
4,29064,1359331200
5,10000,1385337600
5,38773,1385337600
5,13551,1386028800
5,32840,1386028800
6,13462,1368057600
6,12542,1369008000
6,36675,1398556800
7,53025,1372982400
7,11949,1373587200
7,22489,1373587200
7,15877,1382659200
8,5255,1352678400
8,42187,1364774400
8,7450,1390262400
9,1300,1362096000
9,30257,1362096000
9,32344,1362096000
9,53181,1362700800
10,19692,1400457600
10,23432,1400457600
10,26930,1400457600
10,32211,1400457600
10,40814,1400457600
10,41569,1400457600
10,51512,1400457600
11,39844,1380844800
11,58147,1380844800
11,36372,1396137600
11,15947,1398211200
11,34543,1398211200
12,20187,1374364800
12,23457,1374364800
12,29105,1374364800
13,21640,1353369600
13,40749,1353369600
13,45176,1353369600
14,34609,1365120000
14,34611,1365120000
14,40291,1365120000
15,8296,1358208000
15,19124,1366329600
15,35071,1366329600
16,5784,1359936000
16,9696,1359936000
16,23412,1359936000
16,26067,1359936000
16,27409,1359936000
16,36970,1359936000
16,45046,1359936000
16,47521,1359936000
16,48643,1359936000
17,7709,1361923200
17,50164,1395619200
17,26069,1396310400
17,14955,1396915200
17,49428,1396915200
18,13554,1353628800
18,46491,1354752000
18,31377,1355184000
18,45633,1361404800
18,32185,1368835200
19,55599,1369872000
19,47943,1378425600
19,47946,1378425600
19,33086,1382572800
19,13363,1395273600
19,23743,1395273600
19,26690,1395273600
19,45232,1395273600
20,53766,1353024000
20,4393,1363564800
20,8810,1364083200
20,35791,1374969600
21,19822,1374710400
21,35556,1374710400
21,13032,1375228800
21,36956,1375228800
21,40224,1375401600
21,49849,1375401600
21,30218,1376438400
21,49783,1384992000
21,28849,1387756800
21,42402,1388102400
22,30480,1363305600
22,44246,1363392000
22,57995,1366675200
22,49547,1368057600
22,58058,1368057600
22,54726,1372982400
23,42004,1386892800
23,57592,1386892800
23,9698,1387152000
23,10055,1387152000
23,16079,1387152000
24,24182,1353369600
24,20871,1393200000
24,29064,1393200000
25,53659,1379894400
25,51677,1384560000
25,52069,1387670400
26,23506,1360195200
26,25839,1373068800
26,39118,1373068800
26,58061,1398556800
27,9562,1367625600
27,39784,1367625600
27,15871,1385769600
27,16296,1385769600
27,22489,1393891200
28,36564,1353542400
28,37445,1353542400
28,35980,1396051200
29,50497,1355097600
29,40369,1361145600
29,48952,1361145600
29,23759,1361491200
30,24965,1363651200
30,34862,1367107200
30,12426,1379203200
30,15434,1379203200
30,59182,1379203200
30,56627,1383696000
31,31704,1351123200
31,49452,1356912000
31,50692,1357862400
31,8620,1398211200
32,37796,1358467200
32,48177,1358467200
32,44186,1362528000
33,45986,1352332800
33,8231,1356652800
33,59427,1386201600
33,47568,1388707200
34,42704,1353369600
34,50752,1356220800
34,12287,1359590400
34,23671,1359590400
35,13974,1356652800
35,4568,1356998400
35,882,1358035200
35,38657,1358380800
